,match_id,id,index,period,timestamp,minute,second,type_id,type_name,possession,possession_team_id,possession_team_name,play_pattern_id,play_pattern_name,team_id,team_name,player_id,player_name,position_id,position_name,location_x,location_y,duration,shot_statsbomb_xg,shot_end_location_x,shot_end_location_y,shot_end_location_z,shot_outcome_id,shot_outcome_name,shot_type_id,shot_type_name,shot_body_part_id,shot_body_part_name,shot_technique_id,shot_technique_name,opoosition_gk_id,opposition_gk_name,shot_one_on_one,under_pressure,shot_key_pass_id,shot_deflected,shot_first_time,shot_open_goal,shot_redirect
239,68324,788c4fdd-fa27-48d5-b499-3cf251b2d9fe,3101,2,00:36:49.631,81,49,16,Shot,211,217,Barcelona,6,From Counter,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,115.6,35.1,0.4593,0.34771886,120.0,36.9,2.1,97,Goal,87,Open Play,38,Left Foot,93,Normal,25974.0,Franco Costanzo,,,,,True,,
240,9774,81e4aba0-238c-4fe2-98d1-355cd93907d2,3311,2,00:38:15.461,83,15,16,Shot,159,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,12,Right Midfield,99.0,52.3,1.452908,0.08398992,120.0,43.5,2.4,97,Goal,62,Free Kick,38,Left Foot,93,Normal,6629.0,Fernando Pacheco Flores,,,,,,,
241,69165,194dae69-ae58-4c8a-8862-e88869677ebf,1464,1,00:43:17.615,43,17,16,Shot,102,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,115.7,42.0,0.8252,0.5799225,120.0,38.9,2.0,97,Goal,87,Open Play,70,Other,93,Normal,26103.0,Idriss Carlos Kameni,True,,,,,,
242,69165,618cb340-eacc-4b72-86b1-79e2669a2989,2068,2,00:11:07.633,56,7,16,Shot,137,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,113.2,50.8,0.0505,0.2063314,120.0,38.1,0.7,97,Goal,87,Open Play,40,Right Foot,93,Normal,26103.0,Idriss Carlos Kameni,True,,5ac4190f-82b1-4c87-88a6-9a9b7121a5b4,,,,
243,70276,488d721d-9e67-4ca9-8f5b-ec3f93b70c9d,1928,2,00:02:13.635,47,13,16,Shot,117,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,105.2,39.8,0.6425,0.16598232,120.0,42.8,2.1,97,Goal,87,Open Play,38,Left Foot,93,Normal,6730.0,Rubén Iván Martínez Andrade,,True,ef0e813c-c50a-4583-a9ac-757f6331362c,,,,
244,70276,d0f95ab7-987f-4112-a7d2-085240946dd7,3516,2,00:43:13.945,88,13,16,Shot,210,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,115.7,50.6,0.8785,0.47763273,120.0,42.6,0.2,97,Goal,87,Open Play,40,Right Foot,93,Normal,6730.0,Rubén Iván Martínez Andrade,True,,623b4277-813d-4b75-a83b-519dc11cd034,,,,
245,69283,70f2232f-8231-4d95-82bb-6b054e20f92d,1527,1,00:37:30.449,37,30,16,Shot,99,217,Barcelona,4,From Throw In,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,111.4,43.3,0.8859,0.35104954,120.0,42.1,1.7,97,Goal,87,Open Play,37,Head,92,Lob,26146.0,Dudú Aouate,True,,f6f23809-2127-4a83-a606-9fc9754232a8,,,,
246,266433,dadbf966-df68-40e6-b546-983fb0916c7f,1325,1,00:28:30.017,28,30,16,Shot,53,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,108.1,39.9,0.7586,0.76,120.0,37.5,0.2,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
247,265835,ab810a26-003b-4b80-bbf6-acf415d8f9f0,1096,1,00:20:42.563,20,42,16,Shot,47,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,96.0,36.2,0.9621,0.10502112,120.0,36.8,2.0,97,Goal,62,Free Kick,38,Left Foot,93,Normal,27111.0,António Alberto Bastos Pimparel,,,,,,,
248,265835,b49dcb08-0ac5-45a4-adcf-2267a60f521f,3287,2,00:26:48.357,71,48,16,Shot,150,217,Barcelona,6,From Counter,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,17,Right Wing,117.3,43.0,0.2736,0.884745,120.0,43.3,0.9,97,Goal,87,Open Play,40,Right Foot,93,Normal,27111.0,António Alberto Bastos Pimparel,,,5c41f4d7-c8ca-4b4d-b904-08998d05ff94,,True,True,
249,265835,134c947a-a0a2-444d-8025-fe55a58e47e9,3537,2,00:32:11.203,77,11,16,Shot,159,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,102.8,36.3,0.7813,0.101633474,120.0,36.8,0.4,97,Goal,87,Open Play,38,Left Foot,93,Normal,27111.0,António Alberto Bastos Pimparel,,,6cdab912-3bc4-4481-9777-6a40f9a770f3,,,,
250,9754,d14b0c3e-f406-44fc-ba0a-532ef094d71a,3397,2,00:39:29.171,84,29,16,Shot,173,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,88.5,37.6,1.693346,0.041842725,120.0,37.2,2.0,97,Goal,62,Free Kick,38,Left Foot,93,Normal,6694.0,Gerónimo Rulli,,,,,,,
251,70221,35bf3a31-1294-409d-835e-03b343ee3abf,2701,2,00:18:13.365,63,13,16,Shot,125,217,Barcelona,8,From Keeper,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,19,Center Attacking Midfield,102.1,37.1,1.2179,0.14391544,120.0,36.5,1.0,97,Goal,87,Open Play,38,Left Foot,93,Normal,26221.0,Gustavo Adolfo Munúa Vera,,,7c8f7b48-c17e-4fd9-943c-ec0d673a1884,,True,,
252,70221,2f24304f-ba4e-4dae-9819-2120bef558c1,2846,2,00:26:38.882,71,38,16,Shot,137,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,19,Center Attacking Midfield,108.0,40.0,0.60163,0.76,120.0,42.2,2.1,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
253,69295,dac75d97-56e4-4576-b4f2-82d99046a67a,1498,1,00:32:44.286,32,44,16,Shot,61,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,108.0,40.0,0.5163,0.76,120.0,43.4,0.1,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
254,9742,bbd8f7c4-264f-4328-b584-e54d45d4ca0e,448,1,00:11:37.896,11,37,16,Shot,23,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,104.7,33.1,1.97219,0.045143887,120.0,43.4,0.6,97,Goal,87,Open Play,38,Left Foot,95,Volley,6692.0,Oier Olazábal Paredes,,,cda3ba48-8d52-4260-a36a-60fbfdfd964a,,True,,
255,266921,f0d43c5c-a8ec-4297-80e0-56656daab0a4,1926,1,00:41:40.527,41,40,16,Shot,88,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,105.3,31.7,0.9159,0.19629723,120.0,43.5,0.1,97,Goal,87,Open Play,38,Left Foot,93,Normal,9082.0,Przemysław Tytoń,,,ed7075a8-cf0c-482b-8e81-a443e08fcc94,,,,
256,266921,41bd5e64-3a76-4be0-978b-e5b39bb3e0b5,2776,2,00:17:52.277,62,52,16,Shot,122,217,Barcelona,3,From Free Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,104.5,45.5,0.8487,0.20557408,120.0,36.4,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,9082.0,Przemysław Tytoń,,,,,,,
257,303610,2a56b2d9-331e-4b4e-bdb1-a2918894f4a7,3777,2,00:30:20.624,75,20,16,Shot,125,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,22,Right Center Forward,106.2,39.9,0.738197,0.40286553,120.0,36.9,0.4,97,Goal,87,Open Play,40,Right Foot,93,Normal,24140.0,Rui Tiago Dantas da Silva,,,902f2d03-02f7-4774-b756-1f94ddfb3390,,True,,
258,70260,3eb4da6e-e6aa-49a5-98e5-a64988047d68,509,1,00:10:17.384,10,17,16,Shot,26,217,Barcelona,7,From Goal Kick,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,117.2,44.6,0.2147,0.7201212,120.0,43.0,0.0,97,Goal,87,Open Play,40,Right Foot,93,Normal,8697.0,Andrés Eduardo Fernández Moreno,,,d7237dea-4e6a-4b45-b8d4-c475b8ba8d85,,,True,
259,70260,6648cdb0-47e9-4445-aa42-655953ebb4cf,933,1,00:27:09.693,27,9,16,Shot,54,217,Barcelona,5,Other,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,108.2,40.2,0.4185,0.76,120.0,36.6,0.5,97,Goal,88,Penalty,38,Left Foot,93,Normal,,,,,,,,,
260,70260,54c22f06-051e-47f7-95dc-ac849f5eca74,2137,2,00:10:37.407,55,37,16,Shot,110,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,112.1,28.3,1.231797,0.33198264,120.0,42.1,0.1,97,Goal,87,Open Play,38,Left Foot,93,Normal,8697.0,Andrés Eduardo Fernández Moreno,True,,e58c3518-9aeb-4521-b6b9-efcdea25de52,,,,
261,70260,d12869e4-322c-4b97-a27b-599ad262e701,2167,2,00:12:02.183,57,2,16,Shot,112,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,113.6,38.2,0.4373,0.472923,120.0,38.9,1.8,97,Goal,87,Open Play,38,Left Foot,93,Normal,8697.0,Andrés Eduardo Fernández Moreno,,True,b4982d66-08a2-4957-921f-54aa64b32130,,True,,
262,267561,534046a5-a206-43b7-8bf1-8844877edb9f,1335,1,00:34:16.892,34,16,16,Shot,81,217,Barcelona,6,From Counter,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,112.5,30.5,1.591297,0.12711854,120.0,41.6,1.4,97,Goal,87,Open Play,38,Left Foot,92,Lob,26070.0,Antonio Rodríguez Martínez,True,,adfc9b44-b7fc-4221-a8e8-e5083670cadb,,,,
263,70309,a47a9f43-2f7d-47e7-8691-0052121d0a79,825,1,00:15:08.497,15,8,16,Shot,27,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,104.8,36.5,0.684,0.33617553,120.0,36.7,0.2,97,Goal,87,Open Play,38,Left Foot,93,Normal,6571.0,Roberto Jiménez Gago,True,,19030344-2a3d-4a45-a723-457962d12b9a,,,,
264,70309,8bae45a7-8b29-4aa1-bd66-c301a927f558,2975,2,00:14:51.655,59,51,16,Shot,111,217,Barcelona,1,Regular Play,217,Barcelona,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,99.3,47.2,1.032899,0.05558578,120.0,36.4,0.3,97,Goal,87,Open Play,38,Left Foot,93,Normal,6571.0,Roberto Jiménez Gago,,True,e27b0279-84da-4acc-bcfd-86e07ea9565c,,,,
